2020-03-19 19:22:51 | ERROR | MainProcess | test_thread | [rest_client._http_request] DELETE http://172.23.121.66:8091/settings/rbac/users/local/cbadminbucket body:  headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 404 reason: unknown b'"User was not found."' auth: Administrator:password
2020-03-19 19:22:55 | ERROR | MainProcess | Cluster_Thread | [rest_client._http_request] POST http://172.23.121.66:8091/settings/indexes body: storageMode=forestdb headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 400 reason: unknown b'{"errors":{"storageMode":"The value must be one of the following: [plasma,memory_optimized]"}}' auth: Administrator:password
2020-03-19 19:23:12 | ERROR | MainProcess | test_thread | [rest_client._http_request] DELETE http://172.23.121.66:8091/settings/rbac/users/local/cbadminbucket body:  headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 404 reason: unknown b'"User was not found."' auth: Administrator:password
2020-03-19 19:23:18 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 0
2020-03-19 19:23:23 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 1
2020-03-19 19:23:28 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 2
2020-03-19 19:23:32 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 3
2020-03-19 19:23:37 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 4
2020-03-19 19:23:42 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 5
2020-03-19 19:23:42 | ERROR | MainProcess | test_thread | [es_base._http_request] http://172.23.107.205:9200/es_index error 404 reason: status: 404, content: b'{"error":"IndexMissingException[[es_index] missing]","status":404}' b'{"error":"IndexMissingException[[es_index] missing]","status":404}'
2020-03-19 19:23:43 | ERROR | MainProcess | test_thread | [rest_client._http_request] GET http://172.23.121.67:8094/api/index/geo-index body:  headers: {'Content-Type': 'application/json', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 400 reason: rest_auth: preparePerms, err: index not found b'{"error":"rest_auth: preparePerms, err: index not found","request":"","status":"fail"}\n' auth: Administrator:password
2020-03-19 19:23:43 | ERROR | MainProcess | test_thread | [rest_client._http_request] DELETE http://172.23.121.67:8094/api/index/geo-index body:  headers: {'Content-Type': 'application/json', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 400 reason: rest_auth: preparePerms, err: index not found b'{"error":"rest_auth: preparePerms, err: index not found","request":"","status":"fail"}\n' auth: Administrator:password
2020-03-19 20:05:17 | ERROR | MainProcess | test_thread | [rest_client._http_request] GET http://172.23.121.66:8091/pools/default body:  headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 404 reason: unknown b'"unknown pool"' auth: Administrator:password
2020-03-19 20:05:18 | ERROR | MainProcess | test_thread | [rest_client._http_request] GET http://172.23.121.66:8091/pools/default body:  headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 404 reason: unknown b'"unknown pool"' auth: Administrator:password
2020-03-19 20:05:19 | ERROR | MainProcess | Cluster_Thread | [rest_client._http_request] GET http://172.23.121.66:8091/pools/default body:  headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 404 reason: unknown b'"unknown pool"' auth: Administrator:password
2020-03-19 20:05:22 | ERROR | MainProcess | Cluster_Thread | [rest_client._http_request] POST http://172.23.121.66:8091/settings/indexes body: storageMode=forestdb headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 400 reason: unknown b'{"errors":{"storageMode":"The value must be one of the following: [plasma,memory_optimized]"}}' auth: Administrator:password
2020-03-19 20:05:39 | ERROR | MainProcess | test_thread | [rest_client._http_request] DELETE http://172.23.121.66:8091/settings/rbac/users/local/cbadminbucket body:  headers: {'Content-Type': 'application/x-www-form-urlencoded', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 404 reason: unknown b'"User was not found."' auth: Administrator:password
2020-03-19 20:05:44 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 0
2020-03-19 20:05:47 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 1
2020-03-19 20:05:50 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 2
2020-03-19 20:05:53 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 3
2020-03-19 20:05:57 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 4
2020-03-19 20:06:00 | WARNING | MainProcess | Cluster_Thread | [task.check] vbucket map not ready after try 5
2020-03-19 20:06:00 | ERROR | MainProcess | test_thread | [es_base._http_request] http://172.23.107.205:9200/es_index error 404 reason: status: 404, content: b'{"error":"IndexMissingException[[es_index] missing]","status":404}' b'{"error":"IndexMissingException[[es_index] missing]","status":404}'
2020-03-19 20:06:01 | ERROR | MainProcess | test_thread | [rest_client._http_request] GET http://172.23.121.67:8094/api/index/geo-index body:  headers: {'Content-Type': 'application/json', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 400 reason: rest_auth: preparePerms, err: index not found b'{"error":"rest_auth: preparePerms, err: index not found","request":"","status":"fail"}\n' auth: Administrator:password
2020-03-19 20:06:01 | ERROR | MainProcess | test_thread | [rest_client._http_request] DELETE http://172.23.121.67:8094/api/index/geo-index body:  headers: {'Content-Type': 'application/json', 'Authorization': 'Basic QWRtaW5pc3RyYXRvcjpwYXNzd29yZA==', 'Accept': '*/*'} error: 400 reason: rest_auth: preparePerms, err: index not found b'{"error":"rest_auth: preparePerms, err: index not found","request":"","status":"fail"}\n' auth: Administrator:password
2020-03-19 20:06:07 | ERROR | MainProcess | ES_Thread  | [es_base._http_request] socket error while connecting to http://172.23.107.205:9200//_bulk error [Errno 61] Connection refused 
